sku,name,barcode,shortDescription,costPrice,mainPrice,wholesalePrice,wholesaleBoxQuantity,categoryId,brandId,stock_showroom,stock_الصالة
32483632,PW3205-BEIGE-06 ??? ?????? ????? ???,,,10,17,15,1,??? PW,ritver,2,0
5248439,PW3205-BEIGE-06 ??? ?????? ????? ?????,,,37,60,52,1,??? PW,ritver,1,0
52527862,PW3205-BONEWHITE-04 ??? ?????? ????? ???,,,10,17,15,1,??? PW,ritver,4,0
214463,PW3205-BONEWHITE-04 ??? ?????? ????? ?????,,,37,60,52,1,??? PW,ritver,1,0
198844,PW3205-GARDENIA-01 ??? ?????? ????? ???,,,10,17,15,1,??? PW,ritver,4,0
703903,PW3205-IVORY-03 ??? ?????? ????? ???,,,37,60,52,1,??? PW,ritver,6,0
602631423,PW3205-LIGHTIVORY-02 ??? ?????? ????? ???,,,37,60,52,1,??? PW,ritver,1,0
547681901,PW3205-LIGHTIVORY-02 ??? ?????? ????? ?????,,,37,60,52,1,??? PW,ritver,2,0
549926471,PW3205-OFFWHITE-05 ??? ?????? ????? ???,,,10,17,15,1,??? PW,ritver,4,0
55500,PW3205-OFFWHITE-05 ??? ?????? ????? ?????,,,37,60,52,1,??? PW,ritver,1,0
372057195,PW3206 ??? ?????? ???? ???? ???,,,10,17,15,1,??? PW,ritver,4,0
4501094,PW3206 ??? ?????? ???? ???? ?????,,,45.5,75,63,1,??? PW,ritver,4,0
470551296,PW3206-BONEWHITE-04 ??? ?????? ???? ???,,,12,20,18,1,??? PW,ritver,3,0
501959,PW3206-BONEWHITE-04 ??? ?????? ???? ?????,,,45.5,75,63,1,??? PW,ritver,1,0
82750,PW3206-GARDENIA-01 ??? ?????? ???? ???,,,12,20,18,1,??? PW,ritver,1,0
95496,PW3206-GARDENIA-01 ??? ?????? ???? ?????,,,45.5,75,63,1,??? PW,ritver,7,0
81241510,PW3206-LIGHTBEIGE-06 ??? ?????? ???? ???,,,12,20,18,1,??? PW,ritver,2,0
80031564,PW3206-LIGHTBEIGE-06 ??? ?????? ???? ?????,,,45.5,75,63,1,??? PW,ritver,1,0
5537831,PW3206-LIGHTIVORY-02 ??? ?????? ???? ???,,,12,20,18,1,??? PW,ritver,1,0
PROD202512264bfbf3ae,PW3206-LIGHTIVORY-02 ??? ?????? ???? ?????,,,45.5,75,63,1,??? PW,ritver,0,0
7179629,PW3206-OFFWHITE-05 ??? ?????? ???? ???,,,12,20,18,1,??? PW,ritver,2,0
99747174,PW3206-OFFWHITE-05 ??? ?????? ???? ?????,,,45.5,75,65,1,??? PW,ritver,1,0
8666364,RM002-202kg white spirit ??? ???,,,12,20,18,1,??? PW,ritver,1,0
195293,RM002-7K ??? ??? white spirit ???,,,4,6,5,1,??????,ritver,4,0
5100789799388,SPRAY CHROME,,,12.35,20,19,1,??????,ritver,2,0
5100789799395,SPRAY CHROME GOLD,,,1.75,3,3,1,??????,bchara ghostin,3,0
60184,TN202-m8  25ltr ??? ???,,,1.75,3,3,1,??????,bchara ghostin,3,0
323467,TN202-M8-12.5LT ???,,,31,57,43,1,??????,ritver,4,0
997937,TN202-M8-2.5LT ???,,,14.56,24,22,1,??????,ritver,5,0
80701,TN202-M8-200LT ???,,,3.75,6,5,1,??????,ritver,6,0
1362572,TN202-M8-20LT ???,,,225,346,310,1,??????,ritver,1,0
35124,TS0050-1 ??? ??????? ?????? ?????,,,23.57,43,40,1,??????,ritver,2,0
77986,TS0050-5 ??? ??????? ?????? ???,,,10.4,18,17,1,????,ritver,4,0
27134,XYLENE 2.5LT,,,45.5,80,63,1,????,ritver,2,0
6959628,XYLENE 20LT,,,5.85,10,9,1,??????,ritver,8,0
5902628812100,????? 11.5 ???? BETON,,,31.53,50,44,1,??????,ritver,3,0
5902628813091,????? 18 ???? BETON,,,6.5,9,8,1,??????,bchara ghostin,2,0
